num,t,area_osc,Peak.us,FT.1,FT.3,FT.5,FT.7,FT.9,Tag.Mpa,sid,fname
0,30,304.8271406,36.23760915,0.000542724,0.003427571,0.001337289,0.001436367,0.000421247,19.89,0,070221-box2_pair 4 C 12cm.csv
1,42,373.4869401,34.97241551,0.000583816,0.003857416,0.001608138,0.001651801,0.000654445,23.93,0,070221-box2_pair 4 C 12cm.csv
2,50,359.5492291,34.48848697,0.000588035,0.003586358,0.001755253,0.001888119,0.000749434,25.755,0,070221-box2_pair 4 C 12cm.csv
3,66,400.2186804,33.88702095,0.000558869,0.00397316,0.001692148,0.002029712,0.000970648,30.09,0,070221-box2_pair 4 C 12cm.csv
4,120,448.345157,32.98069138,0.000555698,0.004179733,0.001931019,0.002558501,0.001346443,33.965,0,070221-box2_pair 4 C 12cm.csv
5,168,454.9158818,32.80980432,0.000551585,0.004102218,0.001915428,0.002519336,0.001384674,36.31333333,0,070221-box2_pair 4 C 12cm.csv
6,240,466.0506303,32.57224463,0.000576991,0.003903702,0.002365091,0.002497726,0.001434467,38.995,0,070221-box2_pair 4 C 12cm.csv
7,336,506.852832,32.44116117,0.000537858,0.004425386,0.00244436,0.00321594,0.00161047,41.045,0,070221-box2_pair 4 C 12cm.csv
8,552,558.7947723,32.25809137,0.000542494,0.004918863,0.002418125,0.003809987,0.001572602,39.795,0,070221-box2_pair 4 C 12cm.csv
9,30,352.8890452,29.77847336,0.000703596,0.003717999,0.001918032,0.001283485,0.000369295,19.89,1,070221-box1_pair2 C.csv
10,42,379.2018644,28.69233201,0.000694679,0.003703512,0.002083978,0.001657577,0.000530429,23.93,1,070221-box1_pair2 C.csv
11,50,385.8552035,28.2929686,0.000712766,0.003628455,0.002039156,0.001546657,0.000652082,25.755,1,070221-box1_pair2 C.csv
12,66,372.8410097,27.81725168,0.000785635,0.003199944,0.002030661,0.001683633,0.001002803,30.09,1,070221-box1_pair2 C.csv
13,120,391.229674,27.03171916,0.000852793,0.00320609,0.002038412,0.002086364,0.001020307,33.965,1,070221-box1_pair2 C.csv
14,240,388.928603,26.59404604,0.00076796,0.003176116,0.002413129,0.002000039,0.000846029,38.995,1,070221-box1_pair2 C.csv
15,336,390.3013679,26.43988903,0.00067733,0.002778024,0.002269762,0.002066292,0.000805006,41.045,1,070221-box1_pair2 C.csv
16,552,416.2068271,26.30330474,0.000650124,0.002972586,0.002254266,0.002489719,0.000966779,39.795,1,070221-box1_pair2 C.csv
17,26,380.9759576,32.15505999,0.004129378,0.036719528,0.028249635,0.010103852,0.002421356,17.555,2,260121-box1_pair 2.csv
18,42,432.2630923,30.19171885,0.004126407,0.041764613,0.027017224,0.014385349,0.005237474,23.99,2,260121-box1_pair 2.csv
19,50,452.1775298,29.7057819,0.004345515,0.044261249,0.025395074,0.01650226,0.005386958,25.79,2,260121-box1_pair 2.csv
20,65,475.4390906,29.19301033,0.004452892,0.048361627,0.024196525,0.020950283,0.005965073,30.97,2,260121-box1_pair 2.csv
21,124,470.3483442,28.48841873,0.004791557,0.052372386,0.021279589,0.024801661,0.008594257,33.885,2,260121-box1_pair 2.csv
22,168,447.9264605,28.22807635,0.004645484,0.048673437,0.019546102,0.026512927,0.010490992,37.585,2,260121-box1_pair 2.csv
23,240,428.7128693,28.01693369,0.004849285,0.042194367,0.018238658,0.027038066,0.012147564,38.19,2,260121-box1_pair 2.csv
24,336,431.0794026,27.91699019,0.004883094,0.041235955,0.017956834,0.028130372,0.012996843,39.275,2,260121-box1_pair 2.csv
25,504,434.4525244,27.73924992,0.005113365,0.039323071,0.017965078,0.029656959,0.013911501,41.835,2,260121-box1_pair 2.csv
26,22,246.6256467,28.90960445,0.000566789,0.002219616,0.001513702,0.000874067,0.000402526,11.615,3,240421-Box 2_pair4.csv
27,36,340.5911137,26.77018383,0.000620593,0.002955599,0.00176771,0.001895133,0.000873319,23.365,3,240421-Box 2_pair4.csv
28,60,404.2765609,25.78964655,0.000663703,0.002763382,0.001854359,0.002512594,0.001570178,29.015,3,240421-Box 2_pair4.csv
29,108,389.6557415,25.17925142,0.000681873,0.00251318,0.001325868,0.00250784,0.001343308,35.25,3,240421-Box 2_pair4.csv
30,179,397.6229748,24.97827866,0.000693373,0.002192425,0.001628172,0.002811208,0.001358609,36.76,3,240421-Box 2_pair4.csv
31,17.5,154.2652231,28.0236946,0.000464027,0.001529581,0.000543811,0.000570363,9.12E-05,5.71,4,020521-box 3 fulia_pair 6.csv
